Rec,Name,Team,Positions,Rank,ADP,PlayerInfo,PTS,Projections,Link,Last,Description,Status,Year
1,Ronald Acuna Jr.,ATL,"DH,OF",1.0,4.0,"Ronald Acuna Jr. (ATL - DH,OF)",408,.271|103R|28HR|75RBI|36SB,https://www.fantasypros.com/mlb/players/ronald-acuna.php,Acuna Jr.,".271|103R|28HR|75RBI|36SB
Ronald Acuna Jr. appeared in 119 games last year, a significantly higher number than the original projection of a July return from his torn ACL injury. Indeed, the 25-year-old came back in late April, immediately began stealing bases, and rewarded fantasy managers who used a high draft pick on him. While his slugging percentage was down significantly, a lot of that can be attributed to working back from the injury. His EV and HardHit% certainly showed no signs of slowing down, and he remains an on-base machine batting at the top of a fearsome lineup. Acuna should return to his former self with the extra time post-surgery. Fantasy managers can draft him with confidence.",,2023
2,Aaron Judge,NYY,"DH,OF",2.0,1.0,"Aaron Judge (NYY - DH,OF)",472,.283|107R|44HR|107RBI|11SB,https://www.fantasypros.com/mlb/players/aaron-judge.php,Judge,".283|107R|44HR|107RBI|11SB
A lot of 2023 draft boards will have Aaron Judge at the top of them, and there is no doubt he belongs there after his record-setting 2022. He famously broke the A.L. Home Run record with 62, scoring 133 runs, driving in 131, and stealing 16 bases to boot. His slash line was an other-worldly .311/.425/.686 with an xwOBA of .463 and wRC+ of 207. The reason he may fall out of the 1.1 slot on draft day is simply fantasy managers anticipating the regression that is likely to come. Steamer projections have him at 43/109/104 for the upcoming season, and his ratios should see a small decline as well. Other concerns include the fact that Judge will be 31 years old for the majority of the season and played in a career-high 157 games last year. What is not of concern are the 81 games he gets to play at Yankee Stadium this year and each one after until 2031, thanks to his 9-year, $360 million free-agent contract. Judge is the guy if fantasy managers want to shore up their slugging early. Just beware that his numbers might look much closer to 2021 than 2022.",,2023
3,Trea Turner,PHI,SS,3.0,2.0,Trea Turner (PHI - SS),431,.295|101R|22HR|81RBI|32SB,https://www.fantasypros.com/mlb/players/trea-turner.php,Turner,".295|101R|22HR|81RBI|32SB
Trea Turner cashed in on his elite speed/power combination and signed an 11-year, $300 million contract to join the reigning National League Champion Philadelphia Phillies. The 29-year-old scored 101 runs and tallied 100 RBI, often batting behind Mookie Betts and Freddie Freeman in L.A. Fantasy managers shouldn't expect a repeat RBI performance, given that he is almost assuredly going to bat leadoff in Philly, but repeating a 20 HR/100 R season is likely as Citizens Bank plays well to right-handed power. Where Turner catapults to No. 1 is the addition of stolen bases. He had 27 of them in 2022, but if the new baserunning rules indeed make it easier to run, his elite 24.7 ft/sec sprint speed could see him flirt with 40 in 2023. Philly has no problem letting their guys run (ranked seventh in SB attempts), and they're not going to lock up their new toy on arrival. Draft him and enjoy.",,2023
4,Jose Ramirez,CLE,"3B,DH",4.0,3.0,"Jose Ramirez (CLE - 3B,DH)",508,.274|95R|30HR|105RBI|24SB,https://www.fantasypros.com/mlb/players/jose-ramirez.php,Ramirez,".274|95R|30HR|105RBI|24SB
Jose Ramirez remains criminally underrated, considering his productivity remains fantasy relevant across categories. Building on his outstanding 2021 season, he was one home run away from his third career 30/20 season (29/20). The list of third basemen capable of that feat stands at one unless Bobby Witt has 3B eligibility in your league. Ramirez ended up with 90 runs, 126 RBI, and slashed .280/.355/.514 while surrounded in the lineup by some young, inexperienced players who matured as the season progressed. The only statistical knock on the 30-year-old has been two straight years of decreasing wOBA, but that's splitting hairs with it sitting in the .360 range even after the ""decline."" Ramirez did have UCL repair in November, but there is no doubt he will be ready to go for Spring Training. While you shouldn't overlook him, you can certainly hope your league mates do.",,2023
5,Julio Rodriguez,SEA,OF,5.0,5.0,Julio Rodriguez (SEA - OF),390,.280|95R|28HR|84RBI|28SB,https://www.fantasypros.com/mlb/players/julio-rodriguez-of.php,Rodriguez,".280|95R|28HR|84RBI|28SB
Julio Rodriguez led the 2022 youth movement throughout MLB, skipping Triple-A to win Rookie of the Year with 29 of 30 first-place votes and electrifying the crowd at the HR Derby in July. He contributed across all batting categories, slugging 28 HR with 75 RBI, 84 runs, and 25 stolen bases. His slash line was impressive at .284/.345/.509 with a wOBA of .366. He missed time in the middle of the season with a finger injury he incurred while stealing a base, or he would have probably joined the 30/30 Club. His K% (25.9) and BB% (7.1) need improvement, but at age 22, he has plenty of time to work on these numbers. Fantasy managers can deal with those considering he is above the 90th percentile in Avg EV, Max EV, HardHit%, barrel%, outs above avg, and sprint speed. Making a case for him to go 1.1 in 2023 drafts isn't difficult.",,2023
6,Kyle Tucker,HOU,OF,6.0,7.0,Kyle Tucker (HOU - OF),449,.277|87R|30HR|99RBI|23SB,https://www.fantasypros.com/mlb/players/kyle-tucker.php,Tucker,".277|87R|30HR|99RBI|23SB
The ""Free Kyle Tucker"" movement didn't garner the momentum fantasy managers were hoping for as he continued to bat in the sixth spot way too often. However, the 25-year-old smashed 30 HR with 107 RBI, 71 runs, and 25 stolen bases in 2022 en route to another World Series win for the Astros. His ratios were down across the board, but he improved his K% and BB% and suffered from some bad luck with BABIP. These should correct to be nearer to his baseline, in which case fantasy managers are drafting a 30/20 guy with high on-base skills who bats smack in the middle of what is, essentially, an All-Star team. In traditional 5x5 leagues, he can anchor any fantasy outfield you put him in.",,2023
7,Juan Soto,SD,OF,7.0,6.0,Juan Soto (SD - OF),520,.283|106R|30HR|87RBI|10SB,https://www.fantasypros.com/mlb/players/juan-soto.php,Soto,".283|106R|30HR|87RBI|10SB
Heading into the season, Juan Soto is the leading candidate for Comeback Player of the Year, which feels ridiculous to say about a guy who still ended with a WAR of 5.2. The first half of 2022 found him in a terrible lineup, so opposing pitchers walked him 95 times in 436 plate appearances. Reports also surfaced that he had turned down a 15-year, $440 million offer from Washington, and soon, the HR Derby winner headed to San Diego with expectations as big as the contract he turned down. He struggled with the Padres, slashing .236/.388/.390 with only six homers and 16 RBI in 52 games, but he also took a trip to the NLCS. Fantasy managers can expect a course correction in 2023, somewhere in the vicinity of 30+ HR, 110+ RBI, and an elite .400+ OBP. With the addition of Xander Bogaerts, the return of Fernando Tatis, Jr., and the presence of Manny Machado, this is a real-life team you want multiple pieces of in fantasy. Soto is worth every penny of a top draft pick.",,2023
8,Mookie Betts,LAD,OF,8.0,9.0,Mookie Betts (LAD - OF),455,.271|109R|30HR|83RBI|16SB,https://www.fantasypros.com/mlb/players/mookie-betts.php,Betts,".271|109R|30HR|83RBI|16SB
As Mookie Betts enters his age-30 season, there is some expected decline in a few areas (fly ball rate increased but led to a lower ground ball EV/BABIP). Still, his elite on-base skills continue to increase his value in fantasy leagues, especially considering that he bats leadoff in one of the most explosive lineups in baseball. He played in 142 games in 2022, batting first in the lineup in all of them. It is difficult to predict what effect the new running rules will have on his SB total, but fantasy managers can safely count on 10-15 in this area. However, his 30+ HR, 100+ runs, and solid advanced metrics will contribute across the board, and he is worthy of a late first-round pick. The fact that Dave Roberts might deploy him enough at 2B to give him that eligibility is just icing.",,2023
9,Vladimir Guerrero Jr.,TOR,"1B,DH",9.0,12.0,"Vladimir Guerrero Jr. (TOR - 1B,DH)",477,.290|96R|34HR|102RBI|7SB,https://www.fantasypros.com/mlb/players/vladimir-guerrero-jr.php,Guerrero Jr.,".290|96R|34HR|102RBI|7SB
Vladimir Guerrero, Jr., took a step back in 2022, which was expected once he got out of the bandbox parks of Dunedin and Buffalo. He continued to smash the ball, sitting in the 90th percentile in avgEV, MaxEV, and HardHit%. It is somewhat concerning that his K% went up while his BB% went down, but the slight drop in counting stats is projected to normalize back to his 35/100/100 levels. While the fifth-year player probably isn't going to gift fantasy managers with double-digit steals, Guerrero can keep four categories and all ratios afloat, allowing you to build around that foundation. Be prepared to grab him on the turn at the end of Round 1.",,2023
10,Yordan Alvarez,HOU,"DH,OF",10.0,11.0,"Yordan Alvarez (HOU - DH,OF)",444,.293|93R|35HR|104RBI|2SB,https://www.fantasypros.com/mlb/players/yordan-alvarez.php,Alvarez,".293|93R|35HR|104RBI|2SB
Some players have power, whereas Yordan Alvarez has POWER. The 25-year-old ranks in the 100th percentile in average EV, HardHit%, xwOBA, xBA, xSLG, and Barrel% while coming in the 99th percentile in MaxEV. He has power to all fields, bats in the middle of a World Champion lineup, and will protect your ratios in traditional 5x5 leagues and those with advanced categories. Really, unless you are playing in a stolen base premium league, Alvarez offers little downside heading into 2023. (Those downsides are only injury concerns (he played in 135 games last year), and his outfield eligibility will probably expire after this season.) The four-category stud is worth a first-round pick.",,2023
11,Shohei Ohtani,LAA,"DH,SP",11.0,8.0,"Shohei Ohtani (LAA - DH,SP)",431,".262|92R|34HR|91RBI|20SB
13-7-0SV|2.94|1.06|11.02K9",https://www.fantasypros.com/mlb/players/shohei-ohtani.php,Ohtani,".262|92R|34HR|91RBI|20SB
13-7-0SV|2.94|1.06|11.02K9
This is your annual reminder to ensure you know how Shohei Ohtani's pitcher/hitter eligibility is treated in your league(s), as it can make a world of difference in fantasy value. What it will not make a difference in, however, is his incredible talent on the field. His fifth season in MLB saw a slight decline in hitting stats (34 HR, 95 RBI, .273/.356/.519) (and yes, that was a decline). However, he threw 166 innings, struck out 219 batters, and maintained a 2.33 ERA and 1.01 WHIP to finish fourth in Cy Young voting. The Angels have stated they plan to pitch Ohtani every sixth day as regularly as possible, meaning he could conceivably get 28-30 starts in addition to 600 plate appearances. On top of all of that, he is in his walk year and will be auditioning for what will surely be a huge contract. Yes, he clogs your Utility spot, and it can be frustrating to manage him in weekly leagues where he can only start as one or the other. But if you play on a platform where he is counted as both at all times, he is the fantasy 1.1, no matter who they give the real-life MVP to.",,2023
12,Freddie Freeman,LAD,1B,12.0,10.0,Freddie Freeman (LAD - 1B),485,.303|104R|25HR|92RBI|10SB,https://www.fantasypros.com/mlb/players/freddie-freeman.php,Freeman,".303|104R|25HR|92RBI|10SB
After a volatile offseason that saw him sign with the Dodgers, Freddie Freeman settled in and got to work being the hitting machine fantasy managers have come to know and love. While his HR total dropped to 21, his runs (117), RBI (100), and SB (13) kept him in the fantasy MVP conversation. What we really love, though, are his ratios. He may not duplicate his .325/.407/.511 line again, his three-year average of .312/.415/.563 says that range is possible with his elite skills. Ranking in the 90th percentile in K%, BB%, and xwOBA is all you need to know to feel confident in grabbing the 33-year-old in the second round.",,2023
13,Corbin Burnes,MIL,SP,13.0,13.0,Corbin Burnes (MIL - SP),495,13-8-0SV|2.92|1.04|10.86K9,https://www.fantasypros.com/mlb/players/corbin-burnes.php,Burnes,"13-8-0SV|2.92|1.04|10.86K9
The Brewers took the training wheels off for Corbin Burnes in 2022, allowing him to throw 202 innings after only 167 the year before. The 28-year-old didn't disappoint, striking out 243 batters while feasting on the free-swinging NL Central batters. Some fatigue appeared to set in following the All-Star Break, but overall, his numbers remained elite, with an xFIP of 2.85, a K/9 of 10.83, and a WHIP of 0.97. With no clear-cut SP1 in fantasy this season, Burnes is a solid choice, as he will buoy your pitching categories while pitching in front of a Top 10 defensive team.",,2023
14,Manny Machado,SD,3B,14.0,14.0,Manny Machado (SD - 3B),435,.275|93R|30HR|100RBI|11SB,https://www.fantasypros.com/mlb/players/manny-machado.php,Machado,".275|93R|30HR|100RBI|11SB
Manny Machado took a look at his 2021 numbers and thought they were a little low, so he decided to have one of the best years of his career in 2022, finishing second to Paul Goldschmidt for NL MVP. The two knocks on Machado are that his K% was a career-high of 20.7, and he's not getting faster as he ages, but fantasy managers aren't drafting him for his speed. He is a Top 3 third baseman, providing a bankable 30/100/100 while slashing in the .300/.360/.500 range for fantasy managers who decide to power their infield early in drafts. Additionally, the acquisition of Xander Bogaerts, a more relaxed Juan Soto, and a returning, ringworm-free Fernando Tatis Jr. surround him in the Padres lineup. Machado is a safe but exciting draft pick in the second round.",,2023
15,Bo Bichette,TOR,SS,15.0,17.0,Bo Bichette (TOR - SS),398,.286|95R|24HR|90RBI|19SB,https://www.fantasypros.com/mlb/players/bo-bichette.php,Bichette,".286|95R|24HR|90RBI|19SB
Raise your hand if you cursed at and/or traded Bo Bichette prior to the All-Star Break last season! He ended the first half with 14 HR, five SB (out of 10 attempts), and a slash line of .259/.301/.430. He looked lost in a lineup that should have been a bastion of productivity, and fantasy managers everywhere panicked. The 24-year-old responded by slashing .329/.370/.521 with 10 HR and eight SB (out of 10 attempts). That second-half stat line was much closer to his career average, and he still bats in a high-octane lineup that should drive his counting stats back to the 25/15 range without harming your ratios. While he may not be a slam dunk high-round pick, his upside makes him worthy of his ADP.",,2023
16,Mike Trout,LAA,OF,16.0,18.0,Mike Trout (LAA - OF),398,.266|96R|38HR|90RBI|4SB,https://www.fantasypros.com/mlb/players/mike-trout.php,Trout,".266|96R|38HR|90RBI|4SB
Mike Trout may have had the quietest 40-homer season in 2022. Whether he was lost in the Aaron Judge hoopla or continues to squander an incredible career on a terrible team (hint: it's the latter), Trout went about his business as he always has. He only played in 119 games due to a rare and persistent back injury that will require more rest days going forward, even when healthy. On the other hand, those 40 HR and .347 ISO probably won some leagues last year for patient managers who could ride out the injuries. Steamer projections have him hitting another 40 and maybe crossing the century mark on runs and RBI if anyone aside from Shohei Ohtani shows up to play in L.A. He is a top OBP guy and his ratios have one of the highest floors in baseball. The stolen bases are most likely gone forever, but he could pair nicely with a speed guy from Round 1. At the end of the day, he is still Mike Trout, for better or worse. You know what you're getting.",,2023
17,Gerrit Cole,NYY,SP,17.0,15.0,Gerrit Cole (NYY - SP),498,15-8-0SV|3.13|1.05|11.15K9,https://www.fantasypros.com/mlb/players/gerrit-cole.php,Cole,"15-8-0SV|3.13|1.05|11.15K9
Gerrit Cole demonstrated some decline in 2022, allowing 1.48 HR/9 on his way to a 3.50 ERA and a career-high total in homers allowed with 33. There is your knock on the 32-year-old. The rest of his numbers remained stellar. He led the league in strikeouts with 257 of them in 200 2/3 innings, kept his WHIP at 1.02, and carried an xFIP of 2.77, meaning his ratios were slightly inflated. On top of that, the Yankees led MLB in team defensive runs saved, so anything FIP doesn't take into consideration should still be positive. Cole will typically pitch into the sixth inning, meaning he qualifies for wins and quality starts more often than not, and the Yankees should win an abundance of games in 2023. He is not the clear-cut SP1 he's been in years past, but he should still be one of the first off the board.",,2023
18,Bobby Witt Jr.,KC,"3B,SS",18.0,16.0,"Bobby Witt Jr. (KC - 3B,SS)",370,.263|88R|23HR|79RBI|31SB,https://www.fantasypros.com/mlb/players/bobby-witt-jr.php,Witt Jr.,".263|88R|23HR|79RBI|31SB
There were a lot of arguments prior to the 2022 season about whether Witt was ready for the majors full time or if he would need some seasoning. The 22-year-old responded by getting 632 plate appearances, hitting 20 HR, stealing 30 bases, and scoring 82 runs while knocking in 80. Not a bad way to introduce yourself to the neighborhood. Witt struggled to get on base, walking away with an OBP of .294 and xwOBA of .313. He also struggled defensively, which could lead to more time at third base, depending on how Kansas City wants to play him. But he will play every day, and with the new base-stealing rules boosting that category, he may run every day, too. In dynasty leagues, he is already taken; for those in redraft, he is worth a high pick.",,2023
19,Rafael Devers,BOS,3B,19.0,23.0,Rafael Devers (BOS - 3B),431,.284|93R|31HR|97RBI|5SB,https://www.fantasypros.com/mlb/players/rafael-devers.php,Devers,".284|93R|31HR|97RBI|5SB
Rafael Devers is one of the best players in baseball who seems consistently overlooked in fantasy circles. Perhaps that will change in 2023, though he will be playing in one of the least fearsome Boston lineups of his career. Gone are Xander Bogaerts and J.D. Martinez, so Devers will rely on Trevor Story, international signing Masataka Yoshida, Kike Hernandez, and others to boost his runs and RBI, which fell below 100 for the first time in 2022. As a fantasy player, Devers has all of the skills managers would ask for in a third baseman. He mashes the ball, gets on base, and is a four-category player in a friendly ballpark. He also now has the security of an 11-year, $331 million contract to stay with the only team he's been on, though whether or not that impacts his performance remains to be seen.",,2023
20,Pete Alonso,NYM,"1B,DH",20.0,19.0,"Pete Alonso (NYM - 1B,DH)",431,.262|87R|37HR|109RBI|4SB,https://www.fantasypros.com/mlb/players/peter-alonso.php,Alonso,".262|87R|37HR|109RBI|4SB
The Polar Bear was dethroned at the 2022 HR Derby but otherwise had a phenomenal campaign, hitting 40 HR with 131 RBI, 95 runs, and lowering his K% to a career-low 18.7. He had an impressive xwOBA of .354, an ISO of .246, and WRC+ of 143 while batting cleanup in New York. Projections for the 28-year-old look similar to this stat line, though he will have a boosted lineup ahead of him to knock in with the re-signing of Brandon Nimmo, return of Francisco Lindor, and anyone else Steve Cohen decides to add to his luxury tax mountain. The beauty of Alonso is that he has all of the power without cratering your batting average (.271 last season). He remains worthy of a second-round pick in 2023.",,2023
21,Paul Goldschmidt,STL,"1B,DH",21.0,22.0,"Paul Goldschmidt (STL - 1B,DH)",412,.280|94R|29HR|97RBI|8SB,https://www.fantasypros.com/mlb/players/paul-goldschmidt.php,Goldschmidt,".280|94R|29HR|97RBI|8SB
Paul Goldschmidt won the NL MVP in 2022, putting together a strong campaign that saw him hit 35 HR with 115 RBI and 105 runs while slashing .317/.404/.578 in his age-34 season. Strangely, all of his underlying metrics were actually worse in 2022 than in 2021 with the exception of his BB% bouncing from 9.9 to 12.1. One striking reason for this was a .368 BABIP, while another was facing a lot of atrocious pitching in the NL Central. His Statcast page reads like a warning when comparing his expected numbers with his actual ones. All of this adds up to that Goldy is due for some regression in 2023, which could be dramatic. The positives are his solid floor, and a good surrounding lineup will keep the numbers afloat. Just make sure you're not paying for his MVP iteration on draft day.",,2023
